Epoch,D_Loss,G_Loss,G_Score,D_Score,PSNR
0,0.9943076372146606,0.021755130998438822,0.3136952817440033,0.3193877041339874,22.111786210578835
1,0.9898976683616638,0.010478342255964038,0.18467728793621063,0.194779634475708,23.802781581087036
2,1.0012829303741455,0.00816508066875614,0.16711173951625824,0.16582880914211273,23.322225764663862
3,0.9941830635070801,0.0069289337448283795,0.2300194352865219,0.23583638668060303,23.679025082455606
4,1.0140963792800903,0.006489377670903808,0.12324962019920349,0.10915329307317734,24.590668934671438
5,0.9973353743553162,0.006207103555459738,0.21139775216579437,0.2140624076128006,24.702356635034203
6,0.977202296257019,0.00582648153188375,0.30576613545417786,0.3285638093948364,24.714984481725295
7,0.9937557578086853,0.0056908236060924135,0.2431156188249588,0.24935981631278992,24.117119521557644
8,1.0340359210968018,0.005485585457557493,0.25713950395584106,0.22310350835323334,24.881973699518937
9,1.0054831504821777,0.0052939264859371594,0.07439373433589935,0.06891053169965744,25.99947153353384
10,0.9974618554115295,0.00515448309498716,0.4344770312309265,0.43701520562171936,25.340334019639215
11,1.0060256719589233,0.004942920979744988,0.10056716948747635,0.09454154968261719,24.958000438076706
12,1.0000441074371338,0.004977060721765433,0.14090989530086517,0.1408657729625702,25.377030604054454
13,1.002296805381775,0.004828983106000243,0.22263118624687195,0.22033439576625824,25.861872231823998
14,0.9949233531951904,0.004791501239996473,0.16866013407707214,0.1737368404865265,25.337325792503442
15,0.9985487461090088,0.0047539784059033915,0.22493256628513336,0.22638379037380219,24.64764850043535
16,0.9955449104309082,0.004579470602725193,0.2530822455883026,0.2575373947620392,25.001396634763715
17,0.9941725134849548,0.004461889243948293,0.2241077572107315,0.22993524372577667,25.25373579917986
18,0.9845375418663025,0.004461163011344394,0.0682230219244957,0.08368545025587082,25.700665955366986
19,0.9601417779922485,0.004424693318136596,0.02175832912325859,0.06161653250455856,23.194593903889242
20,0.9887329339981079,0.004257755957209977,0.25080373883247375,0.26207080483436584,24.43541047020039
21,0.9856278896331787,0.004265098159535316,0.14263202250003815,0.15700411796569824,24.999361732332147
22,0.9906377196311951,0.004260737671657414,0.2361082285642624,0.2454705387353897,25.638859573069734
23,0.9618952870368958,0.004162942169603172,0.2929615378379822,0.3310662806034088,26.18201675562554
24,0.9898824095726013,0.004122007654470236,0.11960892379283905,0.1297265589237213,24.840246271834815
25,0.9982231855392456,0.004080163756877464,0.13834500312805176,0.14012183248996735,25.48533659591429
26,0.9540598392486572,0.004020957929468799,0.10873747617006302,0.1546776294708252,24.616048432724135
27,0.9940310120582581,0.0039736253719003705,0.07301230728626251,0.07898129522800446,24.867754145671057
28,1.0176550149917603,0.003944868405947006,0.09555700421333313,0.07790202647447586,26.19472968894319
29,1.005434513092041,0.003927875857114934,0.03841635584831238,0.032981809228658676,25.566010572372257
30,0.9877833724021912,0.003897652503999196,0.0819089263677597,0.09412556141614914,25.702987086486857
31,0.9959245920181274,0.0038389279819005767,0.05835309252142906,0.062428466975688934,24.761710732285476
32,1.0040054321289062,0.0038479178001717585,0.16369754076004028,0.15969209372997284,25.59426958545608
33,0.9851567149162292,0.0038058517057062025,0.04507583752274513,0.059919148683547974,25.433972910178237
34,0.9908136129379272,0.003661218463039061,0.009209470823407173,0.018395839259028435,26.357328314204864
35,0.98653244972229,0.003688344031677775,0.03387516364455223,0.047342706471681595,25.878986779985517
36,0.9943166375160217,0.0036476515694784956,0.04777552932500839,0.05345888435840607,25.92555283573366
